danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_genre
0.761,0.311,-10.597,0.0692,0.647,0.0,0.15,0.553,109.891,200706,64,acoustic
0.674,0.122,-17.963,0.0427,0.882,0.0,0.139,0.339,130.014,199256,40,acoustic
0.429,0.358,-9.076,0.0346,0.614,0.0,0.0875,0.187,134.279,205666,47,acoustic
0.456,0.101,-11.75,0.038,0.876,1.74e-06,0.0776,0.155,139.896,229573,40,acoustic
0.647,0.567,-8.971,0.0328,0.0318,0.0,0.133,0.374,125.871,240952,55,acoustic
0.322,0.213,-14.915,0.0318,0.611,0.0,0.113,0.16,160.389,199594,57,acoustic
0.482,0.381,-13.93,0.0311,0.455,0.00295,0.114,0.42,81.712,317280,48,acoustic
0.393,0.207,-11.865,0.0392,0.877,0.0,0.104,0.262,163.99,231965,54,acoustic
0.423,0.207,-8.811,0.0289,0.887,0.0,0.0948,0.209,149.664,200800,53,acoustic
0.522,0.152,-14.996,0.0303,0.788,2.37e-05,0.148,0.133,144.055,261665,60,acoustic
0.547,0.313,-7.982,0.0315,0.612,7.97e-06,0.111,0.261,133.737,231605,54,acoustic
0.504,0.321,-13.807,0.0316,0.149,0.000107,0.147,0.577,170.134,306200,62,acoustic
0.466,0.161,-14.498,0.0492,0.979,0.000238,0.231,0.171,139.167,224847,51,acoustic
0.619,0.28,-10.238,0.0317,0.73,0.0,0.103,0.292,129.948,250063,61,acoustic
0.596,0.429,-10.16,0.0377,0.775,0.0107,0.0962,0.229,148.086,201933,51,acoustic
0.645,0.169,-15.744,0.0317,0.844,0.00019,0.109,0.178,167.826,158013,63,acoustic
0.522,0.256,-11.216,0.0258,0.86,0.000806,0.142,0.13,76.349,296386,65,acoustic
0.681,0.168,-13.397,0.0291,0.793,0.000134,0.109,0.29,128.615,160453,64,acoustic
0.736,0.364,-5.966,0.0349,0.741,0.0,0.0932,0.371,110.023,182442,57,acoustic
0.451,0.528,-6.984,0.0364,0.366,0.0,0.0811,0.527,139.28,181360,54,acoustic
0.371,0.674,-3.72,0.0488,0.169,0.0,0.0889,0.92,87.603,169318,37,acoustic
0.731,0.572,-7.889,0.0445,0.105,0.00012,0.133,0.947,154.038,218573,63,acoustic
0.69,0.334,-5.626,0.066,0.947,0.0,0.0895,0.8,74.721,149160,53,acoustic
0.594,0.307,-13.062,0.0249,0.796,0.0414,0.15,0.24,94.026,183293,0,acoustic
0.608,0.917,-5.341,0.0601,0.236,0.0,0.13,0.936,117.875,169266,36,acoustic
0.687,0.494,-9.421,0.0505,0.324,5.5e-05,0.0867,0.621,93.269,272640,0,acoustic
0.687,0.494,-9.421,0.0505,0.324,5.5e-05,0.0867,0.621,93.269,272640,0,acoustic
0.652,0.15,-12.699,0.0363,0.923,0.0,0.102,0.361,104.018,176509,55,acoustic
0.765,0.241,-8.865,0.0373,0.873,0.0,0.111,0.182,123.95,179886,57,acoustic
0.589,0.249,-10.086,0.0329,0.717,0.0,0.106,0.363,150.096,184200,54,acoustic
0.588,0.604,-7.602,0.024,0.343,6.86e-05,0.252,0.351,92.02,447306,44,acoustic
0.735,0.203,-13.237,0.0539,0.854,0.00164,0.105,0.479,113.913,108346,51,acoustic
0.655,0.147,-14.409,0.0371,0.88,0.0,0.266,0.328,116.103,160768,42,acoustic
0.363,0.819,-3.128,0.0634,0.0591,0.0,0.0988,0.468,122.527,304320,47,acoustic
0.473,0.263,-8.609,0.033,0.814,0.0,0.142,0.315,87.145,201508,54,acoustic
0.676,0.768,-5.695,0.0294,0.149,0.00147,0.345,0.493,105.999,241132,73,acoustic
0.41,0.221,-11.673,0.0315,0.768,0.0,0.106,0.228,139.529,263710,56,acoustic
0.439,0.217,-13.166,0.0413,0.933,0.0,0.126,0.373,144.413,246345,56,acoustic
0.582,0.347,-14.769,0.0305,0.317,0.00678,0.111,0.0797,97.957,257173,59,acoustic
0.426,0.127,-13.287,0.0648,0.863,4.3e-06,0.0993,0.149,62.535,159012,57,acoustic
0.696,0.261,-12.107,0.0361,0.737,1.24e-05,0.11,0.361,136.053,178546,56,acoustic
0.549,0.24,-7.778,0.0338,0.947,0.0,0.106,0.167,119.58,268800,57,acoustic
0.541,0.192,-13.995,0.0282,0.893,0.0,0.193,0.317,139.938,197850,51,acoustic
0.662,0.711,-4.924,0.0279,0.0686,1.17e-05,0.085,0.352,119.989,222400,48,acoustic
0.665,0.185,-13.852,0.0381,0.913,0.0,0.334,0.458,82.474,142379,52,acoustic
0.591,0.175,-12.959,0.038,0.927,0.0,0.133,0.352,139.902,194667,54,acoustic
0.489,0.183,-14.769,0.033,0.907,3.95e-05,0.106,0.486,79.961,212400,55,acoustic
0.618,0.083,-23.665,0.057,0.745,0.000123,0.146,0.597,90.865,196304,41,acoustic
0.664,0.319,-8.149,0.0271,0.862,0.0,0.121,0.258,105.036,230868,49,acoustic
0.408,0.266,-12.9,0.0404,0.875,0.000498,0.104,0.35,143.651,186738,37,acoustic
0.623,0.132,-13.668,0.035,0.893,0.0,0.217,0.266,82.105,193536,52,acoustic
0.494,0.214,-11.041,0.0363,0.92,1.07e-05,0.107,0.35,125.981,196819,58,acoustic
0.374,0.183,-13.225,0.0281,0.897,0.0387,0.109,0.134,82.042,201440,48,acoustic
